IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB02053,"PC(20:1(11Z)/16:1(9Z))",CHEBI:89408,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02054,"PC(20:1(11Z)/18:2(9Z,12Z))",CHEBI:89105,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02055,"PC(20:1(11Z)/18:3(6Z,9Z,12Z))",CHEBI:89101,C00157,2,2,2,2 +/- 0 uM
YMDB02056,"PC(20:1(11Z)/18:3(9Z,12Z,15Z))",CHEBI:89102,C00157,2,2,2,2 +/- 0 uM
YMDB02057,"PC(20:1(11Z)/18:4(6Z,9Z,12Z,15Z))",CHEBI:89103,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02058,"PC(20:1(11Z)/20:1(11Z))",CHEBI:86198,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02059,"PC(20:1(11Z)/20:2(11Z,14Z))",CHEBI:89100,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02060,"PC(20:1(11Z)/20:3(5Z,8Z,11Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02061,"PC(20:1(11Z)/20:3(8Z,11Z,14Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02062,"PC(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02063,"PC(20:1(11Z)/20:4(8Z,11Z,14Z,17Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02064,"PC(20:1(11Z)/22:0)",CHEBI:89097,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02065,"PC(20:1(11Z)/22:1(13Z))",CHEBI:89098,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02066,"PC(20:1(11Z)/P-16:0)",CHEBI:89094,C00157,0.762,0.8001,0.7239,0.762 +/- 0.0381 uM
YMDB02067,"PC(20:2(11Z,14Z)/14:0)",CHEBI:89095,C00157,3,3,3,3 +/- 0 uM
YMDB02068,"PC(20:2(11Z,14Z)/14:1(9Z))",CHEBI:89096,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02069,"PC(20:2(11Z,14Z)/16:0)",CHEBI:89077,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02070,"PC(20:2(11Z,14Z)/16:1(9Z))",,C00157,1,1,1,1 +/- 0 uM
YMDB02071,"PC(20:2(11Z,14Z)/18:1(11Z))",,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02072,"PC(20:2(11Z,14Z)/18:1(9Z))",CHEBI:89080,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02073,"PC(20:2(11Z,14Z)/18:2(9Z,12Z))",CHEBI:89081,C00157,2,2,2,2 +/- 0 uM
YMDB02074,"PC(20:2(11Z,14Z)/18:3(6Z,9Z,12Z))",,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02075,"PC(20:2(11Z,14Z)/18:3(9Z,12Z,15Z))",,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02076,"PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))",,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02077,"PC(20:2(11Z,14Z)/20:0)",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02078,"PC(20:2(11Z,14Z)/20:1(11Z))",,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02079,"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02080,"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02081,"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02082,"PC(20:2(11Z,14Z)/22:0)",,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02083,"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",CHEBI:89140,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02084,"PC(20:2(11Z,14Z)/P-16:0)",CHEBI:89132,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02085,"PC(20:2(11Z,14Z)/P-18:1(11Z))",CHEBI:89130,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02086,"PC(20:2(11Z,14Z)/P-18:1(9Z))",CHEBI:89120,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02087,"PC(20:3(5Z,8Z,11Z)/14:0)",CHEBI:89119,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02088,"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",CHEBI:89123,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
YMDB02089,"PC(20:3(5Z,8Z,11Z)/16:0)",CHEBI:89127,C00157,1,1,1,1 +/- 0 uM
YMDB02090,"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",CHEBI:89125,C00157,1,1,1,1 +/- 0 uM
YMDB02091,"PC(20:3(5Z,8Z,11Z)/18:0)",CHEBI:89111,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02092,"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",CHEBI:89109,C00157,2,2,2,2 +/- 0 uM
YMDB02093,"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",CHEBI:89115,C00157,2,2,2,2 +/- 0 uM
YMDB02094,"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",CHEBI:89113,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02095,"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",CHEBI:89107,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02096,"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",CHEBI:89106,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02097,"PC(20:3(5Z,8Z,11Z)/20:0)",CHEBI:89108,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02098,"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02099,"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02100,"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",CHEBI:89196,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02101,"PC(20:3(5Z,8Z,11Z)/P-16:0)",CHEBI:89204,C00157,1,1,1,1 +/- 0 uM
YMDB02102,"PC(20:3(5Z,8Z,11Z)/P-18:0)",CHEBI:89180,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02103,"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",CHEBI:89181,C00157,2,2,2,2 +/- 0 uM
YMDB02104,"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))",CHEBI:89183,C00157,2,2,2,2 +/- 0 uM
YMDB02105,"PC(20:3(8Z,11Z,14Z)/14:0)",CHEBI:89184,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02106,"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
YMDB02107,"PC(20:3(8Z,11Z,14Z)/16:0)",,C00157,1,1,1,1 +/- 0 uM
YMDB02108,"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",CHEBI:89179,C00157,1,1,1,1 +/- 0 uM
YMDB02109,"PC(20:3(8Z,11Z,14Z)/18:0)",CHEBI:89190,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02110,"PC(20:3(8Z,11Z,14Z)/18:1(11Z))",,C00157,2,2,2,2 +/- 0 uM
YMDB02111,"PC(20:3(8Z,11Z,14Z)/18:1(9Z))",,C00157,2,2,2,2 +/- 0 uM
YMDB02112,"PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))",,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02113,"PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))",CHEBI:89290,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02114,"PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))",CHEBI:89289,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02115,"PC(20:3(8Z,11Z,14Z)/20:0)",,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02116,"PC(20:3(8Z,11Z,14Z)/20:2(11Z,14Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02117,"PC(20:3(8Z,11Z,14Z)/22:1(13Z))",CHEBI:89294,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02118,"PC(20:3(8Z,11Z,14Z)/P-16:0)",CHEBI:88885,C00157,1,1,1,1 +/- 0 uM
YMDB02119,"PC(20:3(8Z,11Z,14Z)/P-18:0)",CHEBI:88886,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02120,"PC(20:3(8Z,11Z,14Z)/P-18:1(11Z))",CHEBI:88887,C00157,2,2,2,2 +/- 0 uM
YMDB02121,"PC(20:3(8Z,11Z,14Z)/P-18:1(9Z))",CHEBI:88883,C00157,2,2,2,2 +/- 0 uM
YMDB02122,"PC(20:4(5Z,8Z,11Z,14Z)/14:0)",CHEBI:88884,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
YMDB02123,"PC(20:4(5Z,8Z,11Z,14Z)/16:1(9Z))",CHEBI:88878,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02124,"PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))",CHEBI:88876,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02125,"PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z))",CHEBI:88877,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02126,"PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))",CHEBI:86184,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02127,"PC(20:4(5Z,8Z,11Z,14Z)/20:0)",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02128,"PC(20:4(5Z,8Z,11Z,14Z)/20:1(11Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02129,"PC(20:4(5Z,8Z,11Z,14Z)/22:0)",CHEBI:88904,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02130,"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))",CHEBI:88894,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02131,"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(9Z))",CHEBI:88896,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02132,"PC(20:4(8Z,11Z,14Z,17Z)/14:0)",CHEBI:88897,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
YMDB02133,"PC(20:4(8Z,11Z,14Z,17Z)/16:1(9Z))",,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02134,"PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z))",CHEBI:88914,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02135,"PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))",CHEBI:88915,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02136,"PC(20:4(8Z,11Z,14Z,17Z)/20:0)",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02137,"PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02138,"PC(20:4(8Z,11Z,14Z,17Z)/22:0)",CHEBI:88905,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02139,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",CHEBI:88926,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02140,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",CHEBI:88925,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB02141,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))",CHEBI:88927,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02142,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))",CHEBI:86183,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02143,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:0)",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02144,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)",CHEBI:89067,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02145,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(11Z))",CHEBI:89065,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02146,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(9Z))",CHEBI:89064,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02147,"PC(22:0/14:1(9Z))",CHEBI:89063,C00157,0.762,0.8001,0.7239,0.762 +/- 0.0381 uM
YMDB02148,"PC(22:0/18:2(9Z,12Z))",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02149,"PC(22:0/18:3(6Z,9Z,12Z))",,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02150,"PC(22:0/18:3(9Z,12Z,15Z))",,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02151,"PC(22:0/18:4(6Z,9Z,12Z,15Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02152,"PC(22:0/20:1(11Z))",CHEBI:86215,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02153,"PC(22:0/20:2(11Z,14Z))",,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02154,"PC(22:0/20:4(5Z,8Z,11Z,14Z))",CHEBI:88760,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02155,"PC(22:0/20:4(8Z,11Z,14Z,17Z))",,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02156,"PC(22:1(13Z)/14:0)",CHEBI:88745,C00157,0.762,0.8001,0.7239,0.762 +/- 0.0381 uM
YMDB02157,"PC(22:1(13Z)/14:1(9Z))",CHEBI:88741,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02158,"PC(22:1(13Z)/18:1(9Z))",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02159,"PC(22:1(13Z)/18:2(9Z,12Z))",CHEBI:88736,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02160,"PC(22:1(13Z)/18:3(6Z,9Z,12Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02161,"PC(22:1(13Z)/18:3(9Z,12Z,15Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02162,"PC(22:1(13Z)/18:4(6Z,9Z,12Z,15Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02163,"PC(22:1(13Z)/20:0)",CHEBI:88737,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02164,"PC(22:1(13Z)/20:1(11Z))",CHEBI:88726,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02165,"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",CHEBI:88731,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02166,"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",CHEBI:88729,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02167,"PC(22:1(13Z)/P-18:1(11Z))",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02168,"PC(22:1(13Z)/P-18:1(9Z))",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02169,"PC(22:2(13Z,16Z)/14:0)",CHEBI:88713,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02170,"PC(22:2(13Z,16Z)/14:1(9Z))",,C00157,1,1,1,1 +/- 0 uM
YMDB02171,"PC(22:2(13Z,16Z)/16:1(9Z))",,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02172,"PC(22:2(13Z,16Z)/18:0)",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02173,"PC(22:2(13Z,16Z)/18:1(11Z))",CHEBI:88708,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02174,"PC(22:2(13Z,16Z)/18:1(9Z))",CHEBI:88706,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02175,"PC(22:2(13Z,16Z)/18:2(9Z,12Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02176,"PC(22:2(13Z,16Z)/18:3(6Z,9Z,12Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02177,"PC(22:2(13Z,16Z)/18:3(9Z,12Z,15Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02178,"PC(22:2(13Z,16Z)/20:0)",,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02179,"PC(22:2(13Z,16Z)/20:2(11Z,14Z))",,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02180,"PC(22:2(13Z,16Z)/P-18:0)",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02181,"PC(22:2(13Z,16Z)/P-18:1(11Z))",CHEBI:88856,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02182,"PC(22:2(13Z,16Z)/P-18:1(9Z))",CHEBI:88855,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02183,"PC(22:4(7Z,10Z,13Z,16Z)/14:1(9Z))",CHEBI:88862,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02184,"PC(22:4(7Z,10Z,13Z,16Z)/18:0)",CHEBI:86200,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02185,"PC(22:4(7Z,10Z,13Z,16Z)/18:1(11Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02186,"PC(22:4(7Z,10Z,13Z,16Z)/18:1(9Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02187,"PC(22:4(7Z,10Z,13Z,16Z)/20:0)",CHEBI:88869,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02188,"PC(22:4(7Z,10Z,13Z,16Z)/P-18:0)",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02189,"PC(22:4(7Z,10Z,13Z,16Z)/P-18:1(11Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02190,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:0)",CHEBI:88843,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02191,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:1(9Z))",,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB02192,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:0)",CHEBI:88436,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02193,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:1(9Z))",CHEBI:88430,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB02194,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)",,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB02195,"PC(24:0/18:1(11Z))",CHEBI:88576,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02196,"PC(24:0/18:1(9Z))",CHEBI:86213,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02197,"PC(24:0/18:2(9Z,12Z))",CHEBI:88588,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02198,"PC(24:0/18:4(6Z,9Z,12Z,15Z))",CHEBI:88587,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02199,"PC(24:0/P-18:1(11Z))",CHEBI:89495,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02200,"PC(24:0/P-18:1(9Z))",CHEBI:89496,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02201,"PC(24:1(15Z)/16:1(9Z))",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02202,"PC(24:1(15Z)/18:0)",,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02203,"PC(24:1(15Z)/18:1(11Z))",,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02204,"PC(24:1(15Z)/18:1(9Z))",,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02205,"PC(24:1(15Z)/18:3(6Z,9Z,12Z))",,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02206,"PC(24:1(15Z)/18:3(9Z,12Z,15Z))",,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02207,"PC(24:1(15Z)/P-18:0)",CHEBI:89426,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02208,"PC(24:1(15Z)/P-18:1(11Z))",CHEBI:89427,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02209,"PC(24:1(15Z)/P-18:1(9Z))",CHEBI:89367,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02210,"LysoPC(16:1(9Z))",CHEBI:73851,C04230,352750.147666667,721825,0.42085,0.443 +/- 0.02215 uM; 664000 +/- 57825 umol/L; 394250 +/- 7875 umol/L
YMDB02211,"LysoPC(18:1(11Z))",CHEBI:86255,C04230,107583.377333333,347225,0.1254,0.132 +/- 0.0066 uM; 319250 +/- 27975 umol/L; 3500 +/- 650 umol/L
YMDB02212,"LysoPC(18:2(9Z,12Z))",CHEBI:28733,C04230,0.137,0.14385,0.13015,0.137 +/- 0.00685 uM
YMDB02213,"LysoPC(20:4(5Z,8Z,11Z,14Z))",CHEBI:74344,C04230,0.033,0.03465,0.03135,0.033 +/- 0.00165 uM
YMDB02214,"LysoPC(20:4(8Z,11Z,14Z,17Z))",CHEBI:86259,C04230,0.033,0.03465,0.03135,0.033 +/- 0.00165 uM
YMDB02215,"PC(O-16:0/18:2(9Z,12Z))",,,0.033,0.03465,0.03135,0.033 +/- 0.00165 uM
YMDB02216,"PC(P-16:0/18:4(6Z,9Z,12Z,15Z))",CHEBI:89980,,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02217,"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",,,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02218,"PC(22:1(13Z)/18:1(11Z))",,,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02219,"PC(P-16:0/16:0)",,,0.067,0.07035,0.06365,0.067 +/- 0.00335 uM
YMDB02220,"PC(P-16:0/16:1(9Z))",,,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02221,"PC(P-16:0/18:1(11Z))",,,1,1,1,1 +/- 0 uM
YMDB02222,"PC(P-16:0/18:1(9Z))",,,1,1,1,1 +/- 0 uM
YMDB02223,"PC(P-16:0/18:2(9Z,12Z))",,,3,3,3,3 +/- 0 uM
YMDB02224,"PC(P-16:0/18:3(6Z,9Z,12Z))",,,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02225,"PC(P-16:0/18:3(9Z,12Z,15Z))",,,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02226,"PC(P-16:0/20:1(11Z))",,,0.762,0.8001,0.7239,0.762 +/- 0.0381 uM
YMDB02227,"PC(P-16:0/20:2(11Z,14Z))",,,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02228,"PC(P-16:0/20:3(5Z,8Z,11Z))",CHEBI:89977,,1,1,1,1 +/- 0 uM
YMDB02229,"PC(P-18:0/14:0)",,,0.067,0.07035,0.06365,0.067 +/- 0.00335 uM
YMDB02230,"PC(P-18:0/14:1(9Z))",,,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02231,"PC(P-18:0/16:1(9Z))",,,1,1,1,1 +/- 0 uM
YMDB02232,"PC(P-18:0/18:1(11Z))",,,0.762,0.8001,0.7239,0.762 +/- 0.0381 uM
